timestamp,open,high,low,close,volume
1765051620000,89467.79,89467.79,89383.82,89383.83,3.76053000
1765051680000,89383.83,89389.69,89311.99,89348.07,10.29936000
1765051740000,89348.08,89368.80,89337.40,89337.41,4.97999000
1765051800000,89337.41,89378.09,89337.40,89378.08,0.69008000
1765051860000,89378.07,89410.00,89378.07,89398.53,1.94649000
1765051920000,89398.53,89426.00,89398.53,89425.99,2.19840000
1765051980000,89425.99,89426.00,89425.99,89425.99,0.19712000
1765052040000,89426.00,89426.00,89392.43,89392.44,3.17881000
1765052100000,89392.43,89392.44,89374.42,89387.75,1.24589000
1765052160000,89387.75,89408.84,89387.75,89408.83,1.10821000
1765052220000,89408.83,89408.84,89404.00,89404.01,0.58162000
1765052280000,89404.00,89424.70,89404.00,89418.71,4.93001000
1765052340000,89418.72,89448.63,89418.71,89448.63,1.15518000
1765052400000,89448.63,89448.63,89414.64,89414.65,2.05806000
1765052460000,89414.65,89414.65,89404.00,89404.01,0.35139000
1765052520000,89404.01,89431.45,89404.01,89431.44,0.68671000
1765052580000,89431.45,89448.63,89431.44,89448.63,0.25195000
1765052640000,89448.63,89448.63,89412.60,89412.60,2.46573000
1765052700000,89412.61,89425.01,89412.61,89425.01,0.88332000
1765052760000,89425.00,89425.01,89425.00,89425.00,0.20986000
1765052820000,89425.01,89443.56,89425.00,89443.34,0.79487000
1765052880000,89443.34,89443.35,89443.34,89443.34,0.17425000
1765052940000,89443.35,89448.63,89443.34,89448.62,0.92379000
1765053000000,89448.63,89460.26,89430.62,89434.65,3.18315000
1765053060000,89434.65,89465.52,89434.65,89465.51,1.35020000
1765053120000,89465.52,89486.00,89446.24,89446.25,3.33891000
1765053180000,89446.24,89465.93,89446.24,89465.93,1.50788000
1765053240000,89465.92,89466.99,89465.92,89466.99,0.14324000
1765053300000,89466.98,89480.75,89466.98,89480.75,0.45650000
1765053360000,89480.76,89506.00,89480.76,89506.00,1.92538000
1765053420000,89506.00,89553.82,89505.99,89508.97,10.04589000
1765053480000,89508.97,89513.40,89484.21,89484.21,1.46892000
1765053540000,89484.22,89515.57,89484.21,89515.57,0.93587000
1765053600000,89515.57,89515.57,89515.56,89515.57,2.11161000
1765053660000,89515.57,89548.14,89490.55,89500.90,7.54981000
1765053720000,89500.90,89532.32,89500.90,89532.31,0.85171000
1765053780000,89532.31,89539.10,89519.16,89539.09,1.09646000
1765053840000,89539.10,89539.10,89539.09,89539.09,0.86136000
1765053900000,89539.10,89549.08,89539.09,89549.07,0.98158000
1765053960000,89549.08,89549.08,89521.26,89528.57,1.72599000
1765054020000,89528.57,89545.91,89517.36,89517.36,1.77205000
1765054080000,89517.36,89520.06,89504.93,89520.06,3.13279000
1765054140000,89520.06,89543.64,89520.05,89535.05,2.89981000
1765054200000,89535.05,89547.97,89535.05,89547.96,0.92717000
1765054260000,89547.97,89549.76,89533.39,89549.76,4.02359000
1765054320000,89549.75,89549.76,89529.20,89529.22,2.64991000
1765054380000,89529.21,89529.21,89518.84,89518.84,4.01448000
1765054440000,89518.85,89539.96,89518.85,89539.96,1.49364000
1765054500000,89539.96,89539.96,89539.95,89539.95,0.24811000
1765054560000,89539.96,89548.88,89539.95,89548.87,1.07205000
1765054620000,89548.87,89548.88,89548.87,89548.87,0.65125000
1765054680000,89548.88,89548.88,89548.87,89548.87,0.56644000
1765054740000,89548.87,89548.89,89548.87,89548.88,8.99294000
1765054800000,89548.88,89548.88,89506.00,89506.01,3.49902000
1765054860000,89506.01,89547.32,89506.01,89547.32,9.31117000
1765054920000,89547.32,89553.82,89547.31,89553.82,12.28968000
1765054980000,89553.82,89569.97,89553.81,89560.62,9.76362000
1765055040000,89560.62,89572.00,89536.66,89572.00,5.59680000
1765055100000,89571.99,89615.34,89571.99,89583.29,13.98315000
1765055160000,89583.30,89583.30,89507.93,89507.93,6.98230000
1765055220000,89507.93,89528.21,89475.58,89484.44,5.43228000
1765055280000,89484.44,89525.16,89476.65,89484.75,9.53544000
1765055340000,89484.76,89516.20,89480.45,89483.91,4.68368000
1765055400000,89483.91,89503.96,89475.54,89475.55,7.77513000
1765055460000,89475.55,89499.52,89475.52,89499.51,2.00686000
1765055520000,89499.52,89499.52,89478.15,89478.16,0.70249000
1765055580000,89478.16,89512.25,89478.15,89508.47,2.51057000
1765055640000,89508.46,89508.47,89488.23,89488.24,1.85415000
1765055700000,89488.24,89488.24,89426.26,89439.40,17.63804000
1765055760000,89439.41,89486.95,89439.40,89475.36,1.98843000
1765055820000,89475.37,89511.75,89475.36,89486.93,2.86347000
1765055880000,89486.94,89486.94,89448.62,89448.62,1.16796000
1765055940000,89448.63,89466.97,89448.62,89459.10,0.83491000
1765056000000,89459.11,89459.11,89437.39,89437.39,1.14999000
1765056060000,89437.40,89468.68,89437.40,89468.68,1.86620000
1765056120000,89468.68,89477.07,89423.91,89423.98,10.02819000
1765056180000,89423.98,89426.87,89404.00,89426.86,1.84357000
1765056240000,89426.87,89448.60,89426.86,89448.60,1.58785000
1765056300000,89448.60,89448.60,89390.01,89403.47,2.76379000
1765056360000,89403.47,89455.97,89403.47,89455.97,1.76109000
1765056420000,89455.97,89455.97,89446.32,89446.33,1.05495000
1765056480000,89446.32,89446.66,89421.80,89421.80,3.98412000
1765056540000,89421.80,89432.00,89421.80,89432.00,0.44810000
1765056600000,89432.00,89437.44,89411.99,89437.44,8.00661000
1765056660000,89437.44,89449.06,89429.37,89436.22,9.25858000
1765056720000,89436.23,89436.23,89405.16,89405.16,1.75528000
1765056780000,89405.16,89417.46,89403.76,89417.46,1.32756000
1765056840000,89417.45,89435.83,89416.85,89416.86,2.09003000
1765056900000,89416.86,89444.86,89416.85,89444.86,2.58510000
1765056960000,89444.86,89455.97,89426.78,89426.78,3.52847000
1765057020000,89426.79,89459.98,89426.78,89459.97,1.79081000
1765057080000,89459.98,89500.00,89459.97,89500.00,1.20492000
1765057140000,89500.00,89500.00,89478.81,89489.39,1.45412000
1765057200000,89489.40,89533.98,89489.39,89533.97,2.35589000
1765057260000,89533.97,89569.07,89506.94,89506.95,6.39566000
1765057320000,89506.94,89511.93,89489.36,89511.92,2.56427000
1765057380000,89511.93,89511.93,89489.17,89489.18,1.76352000
1765057440000,89489.17,89489.18,89466.75,89466.75,0.94920000
1765057500000,89466.76,89496.41,89466.75,89475.42,2.45772000
1765057560000,89475.43,89482.09,89475.42,89478.11,0.68289000
1765057620000,89478.12,89478.12,89472.58,89476.50,0.40190000
1765057680000,89476.49,89482.09,89476.49,89482.09,0.58673000
1765057740000,89482.08,89482.09,89465.95,89465.96,0.48668000
1765057800000,89465.96,89465.96,89460.00,89460.00,0.65420000
1765057860000,89460.00,89470.60,89455.09,89470.60,0.69770000
1765057920000,89470.60,89477.94,89461.64,89477.94,0.94449000
1765057980000,89477.93,89477.94,89453.26,89453.26,2.11339000
1765058040000,89453.26,89453.26,89422.00,89422.00,1.83440000
1765058100000,89422.00,89439.42,89415.25,89415.26,4.01614000
1765058160000,89415.25,89446.34,89415.24,89446.34,7.03246000
1765058220000,89446.34,89446.34,89446.33,89446.33,0.29226000
1765058280000,89446.34,89446.34,89433.80,89433.80,0.51076000
1765058340000,89433.80,89433.81,89420.28,89420.28,1.18152000
1765058400000,89420.29,89420.29,89420.28,89420.29,0.45914000
1765058460000,89420.29,89420.29,89404.00,89404.01,0.81576000
1765058520000,89404.01,89404.01,89393.87,89402.82,1.94527000
1765058580000,89402.81,89402.82,89391.81,89391.81,1.03496000
1765058640000,89391.81,89391.82,89391.81,89391.82,0.40192000
1765058700000,89391.81,89397.42,89384.25,89397.41,1.17062000
1765058760000,89397.42,89397.42,89384.69,89384.70,1.02785000
1765058820000,89384.69,89384.70,89384.69,89384.70,0.71689000
1765058880000,89384.70,89384.70,89375.30,89375.31,0.95602000
1765058940000,89375.31,89375.31,89348.08,89348.08,2.19835000
1765059000000,89348.09,89348.09,89348.08,89348.09,1.85590000
1765059060000,89348.08,89348.09,89348.08,89348.09,1.15819000
1765059120000,89348.09,89348.09,89295.66,89295.67,6.68240000
1765059180000,89295.66,89480.00,89295.66,89478.17,14.68367000
1765059240000,89478.18,89500.00,89478.18,89500.00,0.85188000
1765059300000,89500.00,89506.00,89417.46,89417.47,4.66748000
1765059360000,89417.46,89454.00,89417.46,89434.41,2.23860000
1765059420000,89434.41,89488.95,89434.41,89488.41,3.16493000
1765059480000,89488.42,89523.37,89488.41,89523.36,1.98831000
1765059540000,89523.37,89523.37,89493.14,89493.14,2.63171000
1765059600000,89493.14,89493.15,89493.14,89493.14,1.05654000
1765059660000,89493.14,89493.14,89480.00,89480.01,1.22380000
1765059720000,89480.01,89495.81,89480.00,89495.80,1.84884000
1765059780000,89495.81,89495.81,89477.21,89488.18,1.52378000
1765059840000,89488.18,89488.53,89437.00,89437.01,2.24098000
1765059900000,89437.00,89448.62,89399.97,89438.46,14.49301000
1765059960000,89438.46,89438.46,89408.94,89408.95,1.36698000
1765060020000,89408.95,89421.47,89408.94,89416.93,2.93531000
1765060080000,89416.93,89416.93,89408.09,89408.09,1.08454000
1765060140000,89408.08,89408.08,89350.00,89350.01,2.25510000
1765060200000,89350.00,89400.04,89350.00,89387.15,6.86289000
1765060260000,89387.15,89416.93,89387.15,89396.88,6.63074000
1765060320000,89396.87,89426.52,89396.87,89426.52,0.66925000
1765060380000,89426.51,89426.52,89414.88,89416.59,5.29787000
1765060440000,89416.58,89416.59,89416.58,89416.58,0.56090000
1765060500000,89416.59,89416.59,89384.53,89384.54,0.83769000
1765060560000,89384.53,89384.54,89378.52,89378.52,0.42285000
1765060620000,89378.52,89398.08,89378.52,89398.08,3.59647000
1765060680000,89398.08,89431.88,89398.08,89431.87,1.25744000
1765060740000,89431.88,89431.88,89431.87,89431.87,0.31826000
1765060800000,89431.87,89431.88,89419.10,89419.10,5.25054000
1765060860000,89419.11,89419.11,89419.10,89419.10,0.18018000
1765060920000,89419.11,89419.11,89389.08,89389.08,1.56936000
1765060980000,89389.09,89389.09,89351.00,89351.00,1.61423000
1765061040000,89351.01,89351.01,89342.96,89342.97,2.40144000
1765061100000,89342.96,89344.02,89300.94,89344.01,6.16889000
1765061160000,89344.02,89355.94,89304.31,89335.69,7.45754000
1765061220000,89335.70,89335.70,89330.81,89330.82,0.47211000
1765061280000,89330.81,89356.34,89330.81,89356.34,1.34382000
1765061340000,89356.33,89358.60,89354.71,89354.72,2.38235000
1765061400000,89354.71,89354.72,89354.71,89354.71,0.16221000
1765061460000,89354.72,89354.72,89321.15,89321.15,1.02237000
1765061520000,89321.16,89321.16,89274.42,89294.56,5.97946000
1765061580000,89294.55,89294.61,89257.48,89257.48,2.73356000
1765061640000,89257.49,89279.07,89257.48,89279.06,1.57511000
1765061700000,89279.06,89316.11,89276.78,89316.11,4.46797000
1765061760000,89316.10,89324.95,89287.69,89287.69,3.33199000
1765061820000,89287.70,89287.70,89259.51,89260.91,4.12370000
1765061880000,89260.91,89315.67,89260.91,89266.88,4.15873000
1765061940000,89266.88,89299.18,89266.87,89285.94,1.83669000
1765062000000,89285.93,89325.04,89285.93,89311.62,3.12570000
1765062060000,89311.61,89329.38,89302.00,89329.38,1.63131000
1765062120000,89329.37,89329.38,89283.76,89283.76,4.09131000
1765062180000,89283.76,89283.77,89001.00,89133.36,140.36546000
1765062240000,89133.36,89187.78,89100.43,89100.43,7.85613000
1765062300000,89100.44,89130.78,89098.00,89130.78,8.37786000
1765062360000,89130.78,89196.29,89130.77,89167.90,5.27896000
1765062420000,89167.91,89219.27,89167.90,89183.48,3.51999000
1765062480000,89183.49,89196.00,89183.48,89183.49,2.16805000
1765062540000,89183.48,89183.48,89110.00,89110.11,7.49237000
1765062600000,89110.10,89140.00,89082.53,89140.00,4.38486000
1765062660000,89140.00,89184.10,89140.00,89184.09,2.63710000
1765062720000,89184.10,89184.10,89174.01,89174.01,2.23984000
1765062780000,89174.01,89180.03,89147.90,89161.87,61.48793000
1765062840000,89161.86,89171.92,89133.06,89171.92,15.87552000
1765062900000,89171.92,89213.38,89171.92,89172.01,9.86498000
1765062960000,89172.01,89182.00,89110.48,89181.99,20.96746000
1765063020000,89182.00,89182.00,89149.74,89149.75,2.97196000
1765063080000,89149.75,89149.75,89122.24,89122.25,0.85910000
1765063140000,89122.25,89148.23,89122.25,89148.23,2.18814000
1765063200000,89148.23,89158.61,89077.30,89094.25,6.44248000
1765063260000,89094.25,89094.25,88940.00,89008.92,39.61650000
1765063320000,89008.93,89062.00,88976.83,88988.16,35.57918000
1765063380000,88988.87,88988.90,88950.00,88971.28,9.63039000
1765063440000,88971.28,88996.26,88950.00,88950.01,4.06010000
1765063500000,88950.01,88969.21,88921.20,88969.21,13.25621000
1765063560000,88969.21,88969.21,88908.01,88925.73,5.77163000
1765063620000,88925.74,89014.56,88925.74,89008.32,7.98077000
1765063680000,89008.31,89008.32,88972.85,89000.16,2.95225000
1765063740000,89000.17,89014.00,88976.77,89013.99,5.49787000
1765063800000,89013.99,89043.05,89013.99,89027.88,7.09836000
1765063860000,89027.87,89049.16,89001.43,89012.97,4.33352000
1765063920000,89012.97,89068.00,89001.76,89068.00,4.13086000
1765063980000,89067.99,89068.00,89048.91,89052.03,2.32397000
1765064040000,89052.04,89073.99,89048.90,89048.91,1.57598000
1765064100000,89048.91,89132.38,89041.93,89132.38,4.57629000
1765064160000,89132.39,89145.68,89098.00,89124.05,3.93756000
1765064220000,89124.05,89152.83,89124.05,89133.17,2.79900000
1765064280000,89133.16,89164.87,89133.16,89164.87,2.58249000
1765064340000,89164.87,89180.00,89149.15,89149.17,2.28230000
1765064400000,89149.17,89149.17,89108.74,89119.43,2.22102000
1765064460000,89119.43,89142.67,89064.62,89064.62,3.40412000
1765064520000,89064.63,89085.17,89046.01,89046.02,2.94231000
1765064580000,89046.02,89089.54,89046.01,89089.54,2.02416000
1765064640000,89089.54,89097.99,89089.53,89097.99,1.03104000
1765064700000,89097.99,89149.99,89089.53,89149.99,8.36837000
1765064760000,89149.99,89241.48,89149.99,89234.39,15.58264000
1765064820000,89234.42,89245.01,89221.08,89233.36,10.85950000
1765064880000,89233.35,89233.36,89175.03,89206.15,1.98114000
1765064940000,89206.15,89222.57,89182.18,89193.09,1.97277000
1765065000000,89193.10,89231.93,89193.10,89228.80,1.87305000
1765065060000,89228.79,89238.45,89215.62,89223.00,2.52937000
1765065120000,89223.00,89245.01,89223.00,89238.26,1.99005000
1765065180000,89238.26,89238.26,89224.42,89224.43,2.01589000
1765065240000,89224.42,89232.74,89216.83,89220.36,3.80696000
